"SampleNum","BAUTONOMY1_SEXM","BAUTONOMY2_SEXM","BAUTONOMY1_SEXF","BAUTONOMY2_SEXF","HABIT_UPDATE_MEAN","HABIT_UPDATE_SD","DESCRIPTIVE_CALC_N","DESCRIPTIVE_TRANS_N","BIAS_FACTOR","BETA_ATTITUDE","BETA_NORM","BETA_PBC","BETA_RESTRAINT","BETA_EMOTIONAL","BETA_PD","BETA_HFSSBMIVAL","BETA_BMIVALPD","BETA_BMIVALEMO","BETA_INTERVENTIONEFFECT","BETA_INTERVENTIONSCALE","ALPHA_ATTITUDE","ALPHA_PD","ALPHA_BMI"
1,0.927993390150368,1.31784722909797,0.492428053636104,2.012283755932,46.866211556294,53.2799034186949,62.0083792787045,47.1947057824582,0.600681619307337,0.159106152139915,0.346175579276557,0.50518306211258,0.186599153458762,0.821551759494469,0.773596332602513,0.65713335632657,0.232717881382753,0.337745433944898,0.241195541371902,0.725351101967196,0.864395178210301,0.382074243940103,0.385446463587383
2,1.2252835387364,0.682470968877897,2.47309754271992,0.629655175749212,62.0665829134639,46.5075021882852,67.8584038428962,69.4305446138605,0.567537718568929,0.242395805932271,0.692067645334949,0.499320985803691,0.744551984073284,0.56998097160055,0.579132973433783,0.341931979645354,0.687265257995265,0.322576032516857,0.270173148756536,0.767414770756538,0.31697663430435,0.630753242930708,0.742945062958946
3,1.66381371428724,1.71380061237141,1.40522816362791,2.22672984255478,40.2791748007759,43.112466845351,57.1768080377951,70.3397652432323,0.501031830968956,0.786194412138624,0.392338829658305,0.853137560848457,0.956291344435886,0.709010725701228,0.720066026117032,0.314826691724981,0.418759677233174,0.864539895998314,0.305186194895456,0.73700321491342,0.221861412446015,0.866660049821561,0.570082497736439
4,2.02243467597291,0.855886110663414,0.52723691125866,1.95155864423141,78.1628457320156,27.3909073006362,52.1046707485802,80.8291201102547,0.805916937813163,0.620561487491553,0.436524645697015,0.221402715425938,0.803228527563624,0.471871779750412,0.882852849379803,0.751760439403976,0.890507254695209,0.617080824659206,0.75842872026066,0.164574278596168,0.0102385765096794,0.517563956378338,0.443462081695907
5,2.19279074594378,0.445865653152578,2.25213970555924,0.155049434909597,74.0015284710098,47.7500991268704,61.3283343971707,42.985999615863,0.552396725917545,0.122952706149469,0.167917520863314,0.13767463886179,0.541811316669919,0.96228313575654,0.298786929079021,0.733207947124417,0.707106611505151,0.295481184870005,0.378628898908695,0.199392686295323,0.145244015334174,0.145170281229851,0.36439650033135
6,1.83406123206951,1.08537868522108,1.54874114135746,0.815772715606727,98.2906075599371,33.1137611971547,47.1916420306079,86.9726320374757,0.703854508488439,0.700200038542971,0.602968706772663,0.317996286437847,0.72611439061972,0.457847371712948,0.307307654231166,0.275837142881937,0.523552888895695,0.506778530256512,0.106359615782276,0.61802257009161,0.44439167365587,0.218497021333314,0.400850345372843
7,2.73369115483947,2.54827609376516,0.151520169060677,0.44099456332624,65.9601651172154,24.5954847773537,34.106570769567,52.1834562467411,0.255543302216878,0.307197224162519,0.332867981842719,0.196272021679518,0.328590630157851,0.245923187327571,0.412796160454551,0.192670094346007,0.00263343763072044,0.559497160278261,0.614278346688176,0.499185880995356,0.188680717504273,0.442312204566163,0.657658259314485
8,0.769565389771014,0.389463896956295,2.14465700569563,2.89872573853936,94.3983643298037,53.72807266439,41.5868842056952,65.5993644176051,0.883053719516223,0.645358641344744,0.707012899414015,0.9566249659673,0.284640220886407,0.687839726436262,0.205832144517141,0.0149588380940258,0.614281180803664,0.7807359499624,0.499346046654197,0.220173290690097,0.670151728515824,0.902057115818995,0.838993649037244
9,0.117587155057117,0.923893302911893,0.65123393649701,1.31069223708473,59.9965552985435,34.6633960843707,76.0055085802451,44.1105242595077,0.0608291036138932,0.680002280759315,0.771291146124713,0.445123306506624,0.797973887071324,0.330342596660679,0.922263463966859,0.826354920421727,0.0618101676615576,0.592860456556082,0.00850791244301945,0.556190324574709,0.595027486087444,0.244565025189271,0.708901920751668
10,1.97930953085888,2.33967415515799,2.55030100564472,1.25886061878409,89.6286377306096,37.8033785189812,88.1753289857879,74.680288716685,0.482255601665626,0.738132869739396,0.517165620788001,0.344910578484026,0.523923465314632,0.791569254081696,0.944204652883733,0.910924626436705,0.446855701288829,0.645770081481896,0.348384948517196,0.0358518188896899,0.916156759082029,0.698114954556028,0.543558178306557
