"ID","age","Sex","nssec8","SES","ethgrp5","eth_new","bmival","TotalKcal_M_0","TotalKcal_SD_0","TotalKcal_M_1","TotalKcal_SD_1","desire_0.200","desire_201.500","desire_501.750","desire_751.1000","desire_1001.","location","external","restraint","emotional","automaticity","pbc","microsim.init.eatingstatus","habit.update.interval","autonomy","history_0.200","history_201.500","history_501.750","history_751.1000","history_1001."
1,46,"f","3","medium","white","white",30.9168922079295,1213.4825,281.494820482248,356.1735,186.346080279856,0.265753424657534,0.550684931506849,0.16986301369863,0.010958904109589,0.00273972602739726,"GLondon",2.8,0.533333333333333,0.484615384615384,0.5,0.533333333333333,1,117,0.156969410654467,0.183561643835616,0.564383561643836,0.232876712328767,0.0191780821917808,0
2,16,"f","1","high","white","white",21.8724228190326,895.79405,68.2963474030395,501.56725,210.018773455097,0.0493150684931507,0.465753424657534,0.353424657534247,0.128767123287671,0.00273972602739726,"GLondon",3,0.383333333333333,0.26923076923077,0.544444444444445,0.383333333333333,1,52,0.00886678354854224,0.073972602739726,0.4,0.383561643835616,0.131506849315068,0.010958904109589
3,43,"f","1","high","white","white",21.6837132274716,1628.223595,216.033443264168,723.1295075,392.019919597287,0.073972602739726,0.189041095890411,0.29041095890411,0.213698630136986,0.232876712328767,"GLondon",1.7,0.516666666666667,0.3,0.255555555555556,0.516666666666667,1,135,0.0924065980520515,0.073972602739726,0.219178082191781,0.271232876712329,0.194520547945205,0.241095890410959
4,38,"f","5","medium","white","white",35.7309293470553,1562.7551125,276.90678004523,300.79,261.099416123438,0.243835616438356,0.512328767123288,0.2,0.0410958904109589,0.00273972602739726,"GLondon",2.7,0.583333333333333,0.207692307692308,0.477777777777778,0.583333333333333,1,97,0.170840831821587,0.26027397260274,0.536986301369863,0.16986301369863,0.0328767123287671,0
5,28,"f","2","high","white","white",19.7225187111334,1953.54115,694.439673402442,460.01,70.9707028756702,0,0.717808219178082,0.282191780821918,0,0,"GLondon",4.2,0.583333333333333,0.53076923076923,0.811111111111111,0.583333333333333,1,180,0.249264372951639,0,0.706849315068493,0.293150684931507,0,0
6,33,"f","4","medium","white","white",26.7915844838922,1211.99244375,434.374826080603,417.255,286.388506112472,0.156164383561644,0.410958904109589,0.279452054794521,0.131506849315068,0.0219178082191781,"GLondon",2.4,0.333333333333333,0.438461538461538,0.411111111111111,0.333333333333333,1,146,0.216312056862864,0.136986301369863,0.473972602739726,0.271232876712329,0.106849315068493,0.010958904109589
7,50,"m","l15","low","other","mixed/other",27.423179015626,1978.9825,450.847260596831,237.381333333333,92.6730503724429,0.356164383561644,0.643835616438356,0,0,0,"GLondon",2.3,0.466666666666667,0.3,0.388888888888889,0.466666666666667,1,65,0.864270341304577,0.364383561643836,0.63013698630137,0.00547945205479452,0,0
8,47,"f","5","medium","white","white",24.2010899105734,1423.2908,294.743762149747,130.75,0,1,0,0,0,0,"GLondon",2.7,0.45,0.438461538461538,0.477777777777778,0.45,1,161,0.456279017686165,1,0,0,0,0
9,28,"f","5","medium","other","mixed/other",36.6299006413945,1309.246,174.322862837896,50.96,0,1,0,0,0,0,"GLondon",2.9,0.283333333333333,0.253846153846154,0.522222222222222,0.283333333333333,1,116,0.365605302937273,1,0,0,0,0
10,69,"m","5","medium","white","white",28.4027037777592,1471.67945,475.6371834426,202.825,64.081790185148,0.495890410958904,0.504109589041096,0,0,0,"GLondon",1.5,0.316666666666667,0.1,0.211111111111111,0.316666666666667,1,94,0.810784924722196,0.471232876712329,0.528767123287671,0,0,0
11,35,"m","7","low","mixed","mixed/other",35.9205444849504,899.52605,188.028717882588,217.13,176.154658468063,0.364383561643836,0.558904109589041,0.0767123287671233,0,0,"GLondon",1,0.266666666666667,0.1,0.1,0.266666666666667,1,77,0.994021661555555,0.378082191780822,0.56986301369863,0.0520547945205479,0,0
12,38,"m","l15","low","white","white",33.9809351366299,1672.841,332.403588048224,305.55,118.148846799281,0.208219178082192,0.728767123287671,0.063013698630137,0,0,"GLondon",1.7,0.35,0.115384615384616,0.255555555555556,0.35,1,94,0.980082390791911,0.183561643835616,0.742465753424657,0.073972602739726,0,0
13,53,"f","5","medium","white","white",38.1543921916593,1050.362955,278.961063581583,291.785,127.235970149954,0.210958904109589,0.73972602739726,0.0493150684931507,0,0,"GLondon",1.6,0.383333333333333,0.1,0.233333333333333,0.383333333333333,1,96,0.217563683861382,0.224657534246575,0.70958904109589,0.0657534246575342,0,0
14,31,"f","4","medium","white","white",45.8230434242458,1574.609975,308.453588044192,580.596666666667,374.997475235945,0.104109589041096,0.263013698630137,0.306849315068493,0.210958904109589,0.115068493150685,"GLondon",3.1,0.566666666666667,0.453846153846154,0.566666666666667,0.566666666666667,1,133,0.218405589117535,0.123287671232877,0.317808219178082,0.252054794520548,0.189041095890411,0.117808219178082
